id,id_questao_origem,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta,ha_imagem,comentario,simulado_numero
97,[303443],Produtos e Investimentos,"Daniel comprou 1.000 ações da empresa “RToro Education S/A” na bolsa de valores por R$ 30,00 cada no dia 10/02/2020. Após a sua compra, as ações se valorizaram e ele vendeu a sua posição nos seguintes dias: • Dia 19/02/2021 – Venda de 500 ações a R$ 38,00 • Dia 05/03/2021 – Venda de 300 ações a R$ 45,00 • Dia 09/03/2021 – Venda de 200 ações a R$ 40,00 Desconsiderando custos de transação, o imposto de renda total devido por Daniel foi:","R$ 975,00","R$ 1.462,50","R$ 1.575,00","R$ 2.100,00",A,NAO,,2
98,[105137],Sistema Financeiro e Regulação,"Nas aplicações de instituição ﬁnanceira por conta e ordem de seus clientes, podemos aﬁrmar que:",o custodiante do fundo deve escriturar as cotas em nome dos titulares.,é um tipo de prática não permitida pelas instruções da CVM.,"a instituição ﬁnanceira responsável pela conta e ordem do investidor, irá recolher os impostos, tanto no resgate, quanto no come-cotas.",o administrador será o responsável pelo recolhimento do IR através do come- cotas e a instituição ﬁnanceira responsável pela conta e ordem do investidor será a responsável pelo recolhimento dos impostos quando for através de resgate. 25,C,NAO,,2
99,[105139],Sistema Financeiro e Regulação,"Segundo a Resolução CVM 175 (e suas atualizações), em regra geral, o prazo máximo para o pagamento do resgate de um fundo de investimentos:","não poderá ser superior a 5 (cinco) dias úteis, contados da data da conversão de cotas.","não poderá ser superior a 30 (trinta) dias corridos, contados da data da conversão de cotas.","será decidido pela assembleia de cotistas, por maioria de votos.",será decidido pelo administrador do fundo de investimentos.,A,NAO,,2
100,[105141],Produtos e Investimentos,"Em relação ao “Termo de Adesão & Ciência de Risco”, podemos aﬁrmar que:","ao assinar, o cotista declara teve acesso ao inteiro teor do regulamento e da lâmina de informações.",deve identiﬁcar até cinco principais fatores de risco inerentes à composição da carteira de ativos.,"é obrigatório a todos os fundos de investimentos, exceto as classes tipiﬁcadas como renda ﬁxa curto prazo.","o cotista deve assinar obrigatoriamente para constar que tomou ciência dos fatores de riscos envolvidos, sendo dispensado tal termo quando o fundo de investimentos limita a responsabilidade do cotista ao capital investido.",B,NAO,,2
101,[105158],Produtos e Investimentos,"A classe aberta de um fundo de investimento tipiﬁcado como renda ﬁxa, destinado a investidores não qualiﬁcados, adquiriu ativos ﬁnanceiros não permitidos por seu regulamento. Os ativos permaneceram na carteira do fundo até que a auditoria anual percebeu o erro. A responsabilidade por esse descumprimento continuado do regulamento do fundo é do: I – gestor II – administrador III – custodiante IV – auditor Está correto o que se aﬁrma em:","I e III, apenas.","II e IV, apenas.","III e IV, apenas.","I e II, apenas.",D,NAO,,2
102,[105311],Produtos e Investimentos,"Um investidor pretende fazer um investimento em um fundo de Renda Fixa que seja composto por títulos com baixo risco de crédito e de mercado. Ele ainda não passou pelo processo de Análise do Perﬁl do Investidor (API) e não possui outros investimentos no mercado de capitais. O fundo que permite que esse investidor realize essa aplicação, mesmo sem preencher o API, é o:",Renda Fixa Referenciado DI.,Renda Fixa Soberano.,Renda Fixa Simples.,Renda Fixa Pós-ﬁxado. 26,C,NAO,,2
103,[205310],Produtos e Investimentos,"Sobre o Fundo de Investimento Imobiliário (FII): I – As classes de cotas devem ser constituídas em regime fechado e podem ter prazo de duração indeterminado. II – Pode ser objeto de oferta para investidores de varejo ou qualiﬁcados. III – Pode adquirir a participação em empreendimentos imobiliários, por meio de Letra Hipotecária (LH), Letra de Crédito Imobiliário (LCI) e Certiﬁcados de Recebíveis Imobiliários (CRI). Está correto o que se aﬁrma em:","I, apenas.","I e III, apenas.","II e III, apenas.","I, II e III.",D,NAO,,2
104,[205318],Sistema Financeiro e Regulação,"Os Fundos de Investimento em Direitos Creditórios (FIDCs) com classe aberta, após 180 dias da sua constituição, sob pena de liquidação pela CVM, devem possuir patrimônio líquido de pelo menos:","Zero reais, pois não há mais valor mínimo para a sua aplicação.","R$ 25.000,00","R$ 500.000,00","R$ 1.000.000,00",D,NAO,,2
105,[205329],Produtos e Investimentos,"Para um investidor, uma das diferenças entre aplicar em classes abertas de fundos de investimentos em ações (FIA), indexados ao Ibovespa, com gestão passiva, ou nos fundos de investimentos em Índice de Mercado (ETF), que replicam a performance do Ibovespa, é a possibilidade do investidor:",aplicar e resgatar suas cotas de ETF diretamente com a instituição ﬁnanceira distribuidora do fundo.,aplicar e resgatar suas cotas do FIA diretamente na B3.,"comprar e vender suas cotas do ETF na B3, via home broker.","comprar e vender suas cotas do FIA na B3, via home broker.",C,NAO,,2
106,[105536],Produtos e Investimentos,O IOF cobrado em um resgate ocorrido durante o período de carência em um fundo de investimentos será de:,"0,5% ao dia ﬁxa, limitada ao rendimento, vigente durante todo o período de carência.","0,5% ao dia ﬁxa, limitada ao rendimento, vigente se o resgate ocorrer até o 30º dia da data de aplicação.","1% ao dia ﬁxa, limitada ao rendimento, vigente durante todo o período de carência.","1% ao dia ﬁxa, limitada ao rendimento, vigente se o resgate ocorrer até o 30º dia da data de aplicação. 27",A,NAO,,2
107,[105544],Produtos e Investimentos,"Para um investidor pessoa física domiciliado e residente no Brasil,","a aplicação de recursos em um Fundo de Renda Fixa de Longo Prazo e subsequente resgate em 270 dias corridos geram Imposto de Renda à alíquota de 17,50% sobre os rendimentos.",as perdas apuradas em um Fundo de Ações podem ser utilizadas para a redução do Imposto de Renda devido sobre futuros ganhos em Fundo de Renda Fixa do mesmo administrador.,"os ganhos no Fundo Multimercado de Curto Prazo são tributados à alíquota mínima de 20,00% sobre os rendimentos gerados entre a aplicação e o resgate.","os Fundo de Ações estão sujeitos ao Imposto sobre Operações de crédito, câmbio e seguros ou relativas a títulos e valores mobiliários (IOF) decrescente, de acordo com o prazo de aplicação.",C,NAO,,2
108,[205510],Produtos e Investimentos,"Em relação à tributação dos fundos de investimento imobiliário pelo imposto de renda, é correto aﬁrmar que","os lucros auferidos pelo fundo e que sejam distribuídos aos cotistas, devem ser tributados na fonte à alíquota de 15%.","trata-se de uma modalidade de aplicação isenta de imposto, para pessoa jurídica, sobre os ganhos de capital e/ou rendimentos na alienação ou resgate das cotas",há dois tipos de fatos geradores: a distribuição dos lucros auferidos pelo fundo aos cotistas e a obtenção de ganhos de capital na alienação de cotas.,"o imposto apurado deve ser recolhido pelo próprio titular das cotas, em 31 de junho e 31 de dezembro de cada ano.",C,NAO,,2
109,[105618],Sistema Financeiro e Regulação,"A respeito das regras para apreçamento de ativos contidas no Código Anbima de Administração e Gestão de Recursos de Terceiros, é correto aﬁrmar que:",O Gestor de Recursos é o responsável pelo apreçamento dos ativos ﬁnanceiros integrantes das carteiras de investimentos dos fundos.,"Não é permitida a contratação de terceiros para realizar o apreçamento de ativos, mesmo que devidamente qualiﬁcados para desempenhar essa atividade.","É fortemente recomendável, embora não obrigatório, a constituição de comitê ou organismo que tenha como objetivo discutir os assuntos referentes ao apreçamento de ativos ﬁnanceiros das carteiras dos fundos de investimento.","Em caso de excepcionalidade, é permitida a adoção de método alternativo não previsto no Manual de Apreçamento desde que, previamente à utilização desse método, sejam mantidos registros e justiﬁcativas que fundamentem essa excepcionalidade.",D,NAO,,2
110,[105625],Sistema Financeiro e Regulação,"Dentre as alternativas abaixo, as instituições Participantes estão dispensadas de observar o disposto no Código Anbima de Administração de Recursos de Terceiros para:","Clubes de Investimento e FIP, apenas.","Clubes de Investimento e Gestores de Recursos de Terceiros pessoa física, apenas.","FIP e Gestores de Recursos de Terceiros pessoa física, apenas.","Clubes de Investimento, FIP e Gestores de Recursos de Terceiros pessoa física. 28",B,NAO,,2
111,[106306],Produtos e Investimentos,"Relacione a Coluna 1 à Coluna 2, associando os períodos dos Planos de Previdência com os seus devidos conceitos: ● COLUNA 1 (1) Período de Cobertura. (2) Período de Diferimento. (3) Período de Benefício. ● COLUNA 2 ( ) Corresponde aos períodos de contribuição e/ou de recebimento de renda. ( ) Compreendido entre a data de início da vigência da cobertura por sobrevivência e a data contratualmente prevista para início do pagamento do benefício. ( ) Aquele em que o assistido fará jus ao recebimento da renda, podendo ser vitalício ou temporário. A ordem correta de preenchimento dos parênteses, de cima para baixo, é:","1,3,2","3,2,1","1,2,3","3,1,2",C,NAO,,2
112,[106349],Produtos e Investimentos,"Um cliente contratou um plano de previdência complementar do tipo Plano de Gerador de Beneﬁcio Livre tendo cadastrado sua esposa como beneﬁciária. Ao atingir 60 anos com um montante acumulado de R$ 500.000,00, ele transformou o plano em uma renda por prazo certo de 240 meses. Caso ele venha a falecer aos 70 anos:",o benefício contratado cessará.,"sua esposa passará a receber a renda mensal contratada pelo prazo de 240 meses, a partir da sua morte.",sua esposa poderá resgatar o saldo acumulado da reserva matemática do PGBL.,sua esposa passará a receber a renda mensal contratada pelo prazo de 240 meses.,D,NAO,,2
113,[106501],Produtos e Investimentos,"Um cliente tem 58 anos e deseja contribuir para uma previdência que irá lhe render R$ 1.350,00 mensais quando se aposentar aos 65 anos. Também terá renda do INSS no valor de R$ 1.350,00 (também aos 65 anos). Atualmente ele declara o seu Imposto de Renda pelo modelo simpliﬁcado. Nesse caso, você deveria indicar:",PGBL com regime tributário progressivo.,PGBL com regime tributário regressivo.,VGBL com regime tributário regressivo.,VGBL com regime tributário progressivo.,D,NAO,,2
114,[106529],Produtos e Investimentos,"Um indivíduo que tem uma renda anual de R$ 87.500,00, faz a sua declaração do imposto de renda (DIR-PF) pelo modelo completo. Ele tem o intuito de fazer uma aplicação para aposentadoria no valor de R$ 35.000,00 e deseja aproveitar ao máximo o benefício ﬁscal que os planos de previdência possuem, pois sabe que podem deduzir a sua base tributária na sua DIR-PF. Diante dessas informações, qual o valor que este cliente deveria aplicar em VGBL?","R$ 35.000,00.","R$ 24.500,00.","R$ 10.500,00","Zero, pois deve aplicar todo o valor em um PGBL. 29",B,NAO,,2
115,[106608],Produtos e Investimentos,"Rafael possui um plano VGBL com tabela progressiva e está estudando a possibilidade de fazer uma portabilidade para um outro plano VGBL com tabela regressiva. Desta forma, Rafael conversa com seu consultor de investimentos e lhe diz que o seu intuito é de converter em renda por prazo certo no futuro. Desta forma, o proﬁssional deveria recomendar migrar para outro plano desde que o plano possua:","maior taxa de administração, maior taxa de carregamento e desde que consiga migrar para uma tabua mais antiga.","menor taxa de administração, menor taxa de carregamento e consiga pelo menos manter a mesma tábua atuarial.","menor taxa de administração, menor taxa de carregamento e obrigatoriamente migre para uma tábua atuarial mais antiga.","menor taxa de administração, menor taxa de carregamento, sendo indiferente a escolha da tábua atuarial.",D,NAO,,2
116,[305215],Produtos e Investimentos,"Renato tem 33 anos e pretende se aposentar aos 65 anos, quando atingir um montante em aplicações ﬁnanceiras no valor de R$ 5.600.000,00. Ele já faz aportes mensais de R$ 2.400,00 em um plano de previdência desde os seus 18 anos de idade e com isso, já tem um valor acumulado de R$ 1.000.000,00. Estimando um retorno de 4% ao ano, você informaria ao cliente que, para atingir o seu objetivo, ele deveria incrementar o plano em aproximadamente:","R$ 330,00","R$ 2.730,00","R$ 4.909,00","R$ 9.488,00",A,NAO,,2
117,[305526],Produtos e Investimentos,"Rafael possui uma renda tributável de R$ 150.000,00 por ano e lhe diz que deseja fazer um uma previdência para o ﬁlho ter uma renda mensal de R$ 1.000,00 para custear a faculdade daqui 5 anos. Sabendo que ele já contribuiu R$ 15.000,00 no ano em um PGBL em seu nome, qual das seguintes alternativas é a mais recomendada?",VGBL tabela progressiva.,VGBL tabela regressiva.,PGBL tabela progressiva.,PGBL tabela regressiva.,C,NAO,,2
118,[305527],Produtos e Investimentos,"Rafael contribuiu R$ 1.450,00 por mês durante 15 anos em um VGBL. Sabendo que ele teve uma rentabilidade bruta de 1,65% ao mês, qual o valor aproximado do imposto de renda que lhe será descontado na fonte em caso de resgate, sabendo que ele havia optado pela tabela compensável?","R$ 132.303,16","R$ 198.454,74","R$ 202.375,22","R$ 237.604,74 30",B,NAO,,2
119,[207124],Produtos e Investimentos,"Com relação a uma amostra com mais de 30 observações, é correto aﬁrmar que:","ao serem alterados apenas os termos dos extremos, a mediana não será alterada.",a média é sempre maior que a mediana.,haverá somente uma moda.,"ao serem alterados apenas os termos dos extremos, o desvio-padrão não será alterado.",A,NAO,,2
120,[207129],Produtos e Investimentos,Em uma distribuição normal simétrica:,A média é menor do que a moda.,A média é menor do que a mediana.,A média é maior do que a mediana.,A média é igual à moda.,D,NAO,,2
121,[207131],Produtos e Investimentos,"Se os valores esperados do ﬂuxo de caixa de determinado projeto possuem uma distribuição normal,",a média é igual a 2 desvios padrão.,"aproximadamente 95% dos valores encontram-se no intervalo (média – 2 desvios padrão, média + 2 desvios padrão).",a média e o desvio padrão são iguais.,"aproximadamente 95% dos valores encontram-se no intervalo (média – 1 desvios padrão, média + 1 desvios padrão).",B,NAO,,2
122,[207225],"Análise, Planejamento e Gestão",Um investidor possui o ativo A em sua carteira e está em dúvida entre comprar os ativos B ou C.,"B, pois tem correlação positiva.","C, pois tem correlação negativa.","B, pois tem o menor beta.","C, pois tem o menor desvio padrão.",B,SIM,,2
123,[306319],Mercado Financeiro e Economia,Os pontos de uma fronteira eﬁciente representam onde o investidor irá obter:,maior risco para cada nível de retorno.,maior rentabilidade para cada nível da taxa de juros.,maior rentabilidade para cada nível de risco.,menor rentabilidade para cada nível de risco. 31,C,NAO,,2
124,[306354],Mercado Financeiro e Economia,"Um ativo possui as seguintes características: • Taxa Livre de Risco = 2% • Retorno de Mercado = 6% • Beta = 1,8 Segundo Modelo CAPM, o retorno exigido para comprar este ativo é:",6%,"9,2%","12,8%",15%,B,NAO,,2
125,[306356],Produtos e Investimentos,"Em relação a reta CML (Capital Market Line), a medida de risco utilizada é o:",Beta.,Desvio Padrão.,Coeﬁciente de Correlação.,VaR.,B,NAO,,2
126,[306602],Ética e Compliance,"Com relação ao Acordo de Basiléia, assinale a alternativa correta:",Trata-se de um esforço internacional para combater a lavagem de dinheiro.,"É um acordo para restringir o livre ﬂuxo de capitais entre os diversos países do mundo, principalmente os menos desenvolvidos, por apresentarem maior risco de crédito.",É uma nova legislação que tem como objetivo diminuir o risco de crédito do sistema bancário mundial.,"É um acordo que resulta de um esforço internacional que tem como objetivo diminuir o risco de crédito do sistema bancário, ao adotar percentuais mínimos de capital dos bancos.",D,NAO,,2
127,[207308],"Análise, Planejamento e Gestão","Value at risk (VaR) de uma carteira, com 95% de conﬁança, medido através de uma série de retornos diários em 20 dias, é R$ 1.000,00. Isto indica que esta carteira tem:","95% de possibilidade de perder mais de R$ 1.000,00 por dia em sua posição.","5% de possibilidade de perder até R$ 1.000,00 em 20 dias.","95% de possibilidade de perder até R$ 1.000,00 por dia em sua posição.","5% de possibilidade de perder mais de R$ 1.000,00 após 20 dias.",C,NAO,,2
128,[306412],Produtos e Investimentos,"Dentre os índices abaixo, aquele que utiliza o benchmark como referência é:",Índice de Modigliani (M2),Índice de Sharpe,Índice de Treynor,Índice de Basileia 32,A,NAO,,2
129,[102324],Sistema Financeiro e Regulação,"Segundo a Resolução n° 30 da CVM, o proﬁssional de distribuição deve veriﬁcar se os produtos, serviços e operações ofertadas aos clientes são adequados aos seus objetivos de investimento. Nesse caso,ele precisa analisar, entre outros aspectos:",a necessidade futura de recursos declarada pelo cliente.,o valor e os ativos que compõem o patrimônio do cliente.,o período em que o cliente deseja manter o investimento.,"os tipos de produtos, serviços e operações familiares ao cliente.",C,NAO,,2
130,[102338],Produtos e Investimentos,"As pessoas habilidades a atuar como integrantes do sistema de distribuição e os consultores de valores mobiliários não podem recomendar produtos, realizar operações ou prestar serviços a seus clientes sem que veriﬁquem sua adequação ao perﬁl do cliente. Para tanto, devem analisar, no mínimo: I – o período em que o cliente deseja manter o investimento. II – as preferências declaradas do cliente quanto a assunção de riscos. III – as ﬁnalidades do investimento. Está correto o que se aﬁrma em","II e III, apenas.","I, II e III.","III, apenas.","I e II, apenas.",B,NAO,,2
131,[102340],Sistema Financeiro e Regulação,"Segundo a Resolução n° 30 da CVM, o proﬁssional autorizado a recomendar produtos de investimento para clientes deve manter as informações relativas ao perﬁl de seus clientes atualizadas num intervalo máximo de_______________; e proceder a nova análise e classiﬁcação das categorias de valores mobiliários em intervalos não superiores a ____________. As lacunas das frases deverão ser corretamente preenchidas por",24 (vinte e quatro) meses e 5 (cinco) anos.,12 (doze) meses e 5 (cinco) anos.,5 (cinco) anos e 24 (vinte e quatro) meses.,24 (vinte e quatro) meses e 10 (dez) anos.,C,NAO,,2
132,[202611],Produtos e Investimentos,"Ao analisar somente as rentabilidades abaixo, seu cliente decide investir no Fundo de Investimentos em Ações. Desta forma, as ﬁnanças comportamentais deﬁne esse tipo de comportamento como:",Ancoragem.,Representatividade.,Disponibilidade.,Aversão a perdas. 33,B,SIM,,2
133,[202631],Produtos e Investimentos,"Uma empresa realizou, recentemente, um IPO (Oferta Pública Inicial) e passou a listas as suas ações na Bolsa de Valores. O preço do IPO foi de R$ 10,00 por ações. Um ano antes, o principal concorrente dessa empresa também realizou um IPO ao preço de R$ 10,00. Atualmente as ações da empresa concorrente estão sendo negociadas a R$ 50,00 na bolsa de valores. Nesse caso, os investidores inﬂuenciados pela Heurística da Ancoragem:","Acreditam que o mercado seja eﬁciente, e desta forma, que essa ação esteja no valor de R$ 50,00 em um ano.","Utilizem o resultado do concorrente como parâmetro, acreditando que as ações estejam no valor de R$ 50,00 em um ano.","Desprezem qualquer informação passada para estimar o preço da ação da empresa que abriu capital, acreditando que o mercado seja eﬁciente.",Desprezem completamente a informação do IPO da empresa concorrente para estimar o preço da ação da empresa que abriu o capital.,B,NAO,,2
134,[202648],Produtos e Investimentos,"De acordo com a Teoria da Perspectiva (ou do Prospecto), um investidor tende a ser:",propenso ao risco quando o investimento é apresentado na forma de ganhos.,avesso ao risco quando o investimento é apresentado na forma de perdas.,propenso ao risco quando o investimento é apresentado na forma de perdas.,neutro ao risco quando o investimento é apresentado na forma de ganhos.,C,NAO,,2
135,[307103],Perfil e Comportamento do Investidor,"Analisando o gráﬁco abaixo, pode-se aﬁrmar que o investidor que obteve tais retornos apresentou com mais intensidade o viés de comportamento conhecido por:",Excesso de Conﬁança.,Representatividade.,Aversão a perdas.,Ancoragem.,A,SIM,,2
136,[307222],"Análise, Planejamento e Gestão",Em qual etapa do Processo de Planejamento Financeiro ocorre a escolhe dos ativos da carteira de um cliente?,"Análise dos objetivos, necessidades, valores e informações do cliente.",Coleta das informações necessárias para elaborar um plano ﬁnanceiro.,Desenvolvimento de recomendações e apresentação ao cliente.,Implementação das recomendações do planejamento ﬁnanceiro. 34,D,NAO,,2
137,[307237],"Análise, Planejamento e Gestão","No Processo de Planejamento Financeiro, o ciclo adequado de revisão do plano ﬁnanceiro é deﬁnido no momento de:",Deﬁnir e estabelecer o escopo do relacionamento.,Desenvolver as estratégias ﬁnanceiras e apresentá-las.,"Coletar, analisar e avaliar informações detalhadas sobre o cliente.",Monitor a carteira de investimentos do cliente.,B,NAO,,2
138,[307261],"Análise, Planejamento e Gestão","Ao conversar com um cliente pela primeira vez, seria apropriado coletar as seguintes informações para o planejamento ﬁnanceiro: I – Objetivos que o cliente tem para a sua aposentadoria. II – Referentes a problemas de saúde do cliente. III – Sobre algum inconveniente em relação a idade dos seus sucessores. Está correto o que se aﬁrma em:","I, apenas.","II, apenas.","I e II, apenas.","I, II e III.",D,NAO,,2
139,[307262],Perfil e Comportamento do Investidor,"Um investidor tem perﬁl arrojado. Caso o cenário econômico mude, o planejador ﬁnanceiro:","pode mudar o IPS e implementar as mudanças, sem comunicar o cliente.",pode avisar o cliente após implementar as mudanças do IPS.,"por ser um cliente arrojado, não precisa avisar as mudanças do IPS.",deve sempre avisar o cliente antes de qualquer mudança de IPS.,D,NAO,,2
140,[307272],Produtos e Investimentos,"Na fase de desenvolvimento das recomendações de investimentos, o planejador ﬁnanceiro deverá:",Obter aprovação sobre estratégias necessárias para implementar os ajustes propostos.,"Analisar e avaliar os tipos de risco aos quais o cliente está exposto, determinando o IPS do cliente.",Apresentar ao cliente quais as ações e os títulos de renda ﬁxa que devem ser adquiridos na carteira de investimentos.,"Propor ao cliente uma política de investimentos em função de sua situação ﬁnanceira, estágio de vida, perﬁl psicológico , objetivos e restrições. 35 CEA: SIMULADO (03)",D,NAO,,2
141,[101117],Sistema Financeiro e Regulação,Qual o órgão responsável pelo cálculo da TR (Taxa Referencial)?,CMN,Banco Central,COPOM,CVM,B,NAO,,3
142,[101261],Sistema Financeiro e Regulação,"A Resolução CMN Nº 5.008 de 24/3/2022 dispõe sobre a constituição, a organização e o funcionamento das sociedades corretoras de títulos e valores mobiliários (CTVM) e das sociedades distribuidoras de títulos e valores mobiliários (DTVM). Segundo essa resolução, a CTVM e a DTVM: I – Seus funcionamentos dependem de autorização do Banco Central do Brasil. II – Têm por objeto social intermediar oferta pública e distribuição de títulos e valores mobiliários no mercado, podendo também emitir de moeda eletrônica. III – Não podem cobrar de seus comitentes corretagem ou qualquer outra comissão referente a negociações com determinado valor mobiliário durante seu período de distribuição primária. Está correto o que se aﬁrma em:","I, apenas.","I e II, apenas.","II e III, apenas.","I, II e III.",D,NAO,,3
143,[101313],Sistema Financeiro e Regulação,"Caso o associado descumpra as obrigações previstas no Estatuto Social da ANBIMA, o mesmo poderá sofrer as seguintes penalidades:","advertência privada, advertência pública e multa.","advertência pública, multa e afastamento da Anbima.","advertência privada, advertência pública e afastamento temporário.","advertência privada, afastamento e multa.",B,NAO,,3
144,[202503],Sistema Financeiro e Regulação,"Segundo o Código Anbima de Distribuição de Produtos de Investimentos, são considerados produtos de investimentos os: I – Certiﬁcados de Depósito bancário (CDBs) II – Títulos de capitalização III – Brazilian Depositary Receipts (BDR) Está correto o que se aﬁrma em:","I, apenas.","II e III, apenas.","I e III, apenas.","I, II e III. 36",C,NAO,,3
145,[102120],Ética e Compliance,"São considerados exemplos de indícios do crime de lavagem de dinheiro: I – Uma ONG recebe quatro créditos de uma casa noturna, sendo o primeiro de R$ 1.000,00, o segundo de R$ 2.000,00, o terceiro de R$ 4.000,00 e o quarto de R$ 2.000,00. No dia seguinte, esta ONG transfere estes R$ 9.000,00 para uma outra conta que possui. II – Um pai movimenta a conta de seu ﬁlho e efetua um depósito em espécie no valor de R$ 9.000,00. Ele movimenta esta conta, pois possui o “pátrio poder” e através dessa conta, ele paga aluguel, luz, água e a escola do seu ﬁlho. Está correto o que se aﬁrma em:","I, apenas.","II, apenas.",I e II.,Nenhuma das duas.,A,NAO,,3
146,[202209],Produtos e Investimentos,"Um investidor institucional solicitou a uma corretora de valores que adquirisse uma quantidade signiﬁcativa de ações de uma determinada empresa. Um corretor de valores, dessa mesma corretora, ao obter a informação sobre a negociação com o cliente, adquire ações dessa empresa para si próprio, antecipando-se à execução da ordem do cliente pela corretora. Nesse caso, a atitude indevida do corretor denomina-se",insider trading,front trading,front running,insider information,C,NAO,,3
147,[103106],Mercado Financeiro e Economia,O produto Interno Bruto (PIB) de uma economia aberta inclui o valor dos bens e serviços ﬁnais destinados: I – ao consumo das famílias. II – aos investimentos. III – aos gastos do governo. IV – às exportações líquidas Está correto o que se aﬁrma em:,"I e III, apenas.","I, II e IV, apenas.","II, III e IV, apenas.","I, II, III e IV.",D,NAO,,3
148,[203142],Sistema Financeiro e Regulação,"Em uma nota divulgada ao mercado, o Banco Central do Brasil (Bacen) demonstrou preocupação com o aquecimento do nível de atividade econômica e do atual excesso de liquidez. De acordo com a nota, poderiam ser adotadas medidas para reduzir a oferta de crédito. Nesse caso, uma das medidas possíveis a ser adotada pelo Bacen é a de:",recomprar títulos públicos em operações de mercado aberto (open market).,reduzir a taxa de redesconto para empréstimos de assistência à liquidez.,ampliar a emissão de papel moeda.,aumentar o recolhimento do compulsório sobre o depósito à vista e a prazo. 37,D,NAO,,3
149,[203153],Mercado Financeiro e Economia,"Para reduzir a oferta monetária e controlar a expansão da demanda agregada da economia, um dos instrumentos de política monetária a disposição do Banco Central é a:",compra de títulos públicos no mercado aberto.,venda de títulos públicos no mercado aberto.,redução da taxa do redesconto.,redução da taxa dos depósitos compulsórios,B,NAO,,3
150,[302204],Produtos e Investimentos,Qual a taxa equivalente de um investimento de 14%.a.a para 185 dias corridos?,"5,48%","6,97%","7,19%","10,10%",B,NAO,,3
151,[302223],Mercado Financeiro e Economia,"Maria Cecília adquire um imóvel por R$ 650.000,00 em 180 prestações mensais pela Tabela SAC com juros de 10% ao ano. Sabendo que o primeiro pagamento ocorrerá 30 dias após a liberação dos recursos, o valor da primeira prestação será aproximadamente de:","R$ 5.183,00","R$ 6.814,00","R$ 8.794,00","R$ 9.027,00",C,NAO,,3
152,[302336],Mercado Financeiro e Economia,"Um indivíduo investiu o valor de R$ 250.000,00, e recebeu, respectivamente, R$ 40.000,00, R$ 60.000,00, R$ 90.000,00 e R$ 120.000,00, em 30, 60, 90 e 120 dias, da data da contratação da operação. A taxa de juros desse investimento foi, aproximadamente, de","4,66% a.m.","6,26% a.m.","10,66% a.m.","7,72% a.m.",D,NAO,,3
153,[302348],Produtos e Investimentos,"Um cliente irá fazer um investimento no valor de R$ 20.000,00. Este investimento irá gerar um pagamento de R$ 10.000,00 por mês, durante 4 meses consecutivos. Sabendo que este investidor irá reaplicar as parcelas recebidas em uma aplicação que rende 8% por mês, o retorno anualizado que ele terá ao ﬁnal da última parcela será de:","22,52%","34,90%",1.044%,3.533% 38,C,NAO,,3
154,[104131],Produtos e Investimentos,"Um investidor que não deseja correr risco de crédito e ainda por cima, deseja o menor risco possível, deveria investir em:",LFT,CDB,NTN-F,LTN,A,NAO,,3
155,[303117],Produtos e Investimentos,"Uma debênture brasileira, com maturidade de 10 anos e com pagamento de cupom anual a taxa de 12% a.a., está sendo negociada por R$ 1.197,93. Desta forma, um investidor que a adquira agora, estará adquirindo um título com Yield to Maturity (YTM) aproximado de:","4,00% a.a.","6,45% a.a.","7,58% a.a.","8,93% a.a.",D,NAO,,3
156,[303509],Mercado Financeiro e Economia,"Dentre as alternativas abaixo, os títulos negociados no mercado norte americano que não possuem risco de reinvestimentos são:",T-Bills e Commercial Papers,T-Bills e TIPS,T-Bonds e T-Notes,T-Bonds e TIPS,A,NAO,,3
157,[203209],"Análise, Planejamento e Gestão",As variáveis que impactam o cálculo do WACC (Weighted Average Capital Cost) são:,Desvio padrão e Retorno da empresa.,Taxa livre de risco e Beta da empresa.,"Capital Próprio e Capital de Terceiros, apenas.","Capital Próprio, Capital de Terceiros e alíquota do IR.",D,NAO,,3
158,[104209-A],Produtos e Investimentos,"A remuneração distribuída aos acionistas de uma empresa S/A de capital aberto, na forma de Juros sobre Capital Próprio",equivale à distribuição de novas ações para os atuais acionistas dessa empresa.,"deve corresponder, no mínimo, ao custo médio ponderado de capital da empresa.","permite ao acionista negociar esses direitos na bolsa de valores, antes do seu recebimento.",pode ser considerada no cálculo para ﬁns de pagamento do dividendo mínimo obrigatório. 39,D,NAO,,3
159,[204348],Produtos e Investimentos,"Com relação aos gráﬁcos abaixo, o titular da opção vai exercer o seu direito, caso o preço do ativo-objeto for menor que o preço de exercício, apenas nos cenários:",I,II,I e III,II e III,A,SIM,,3
160,[204371],Produtos e Investimentos,O modelo Black-Scholes possui os seguinte pressupostos: I – As ações não possuem dividendos durante a vida do derivativo. II – É possível emprestar e tomar emprestado a uma taxa de juros livre de risco constante e conhecida; III – O preço segue um movimento Browniano geométrico com tendência (drift) e volatilidade constantes. Está correto o que se aﬁrma em:,"I, apenas.","II, apenas.","I e II, apenas.","I, II e III.",D,NAO,,3
161,[204383],Mercado Financeiro e Economia,O contrato futuro de DI negociado na Bolsa de Valores permite,estimar a volatilidade das opções de ouro.,auxiliar na determinação da inclinação da curva de juros.,auxiliar na previsão das taxas de câmbio spot.,estimar a volatilidade do índice BOVESPA.,B,NAO,,3
